name,weight,unitOfMeasure,referenceItem
Annie's Homegrown Gluten-Free Rice Pasta,170,g,Mac and cheese
Blue Diamond Nut Thins Crackers Almond,120,g,Crackers
Bob's Red Mill Cornstarch,510,g,Cornstarch
Bob's Red Mill Gluten Free Old Fashioned Rolled Oats,907,g,Oats
Bob's Red Mill Gluten Free Quick Cooking Rolled Oats,794,g,Oats
Bob's Red Mill Gluten Free Steel Cut Oats,680,g,Oats
Bob's Red Mill Organic Extra Thick Rolled Oats,907,g,Oats
Bob's Red Mill Super-Fine Almond Flour,453,g,Flour
c'est BONBON candy,150,g,Candy
Camino Original Hot Chocolate,336,g,Hot chocolate
Dandies Vegan Marshmallows,283,g,Marshmallows
Earth's Own Oat Original,946,mL,Milk
Enjoy Life Brownie Bites Rich Chocolate,135,g,Chocolate
Enjoy Life Chocolaty Bars Chocolateriz,32,g,Chocolate
Enjoy Life Chocolaty Bars Crunch,32,g,Chocolate
Enjoy Life Morsels,255,g,Chocolate chips
Enjoy Life Chocolate Chips,283,g,Chocolate chips
Enjoy Life Soft Baked Cookies Chocolate Chip,170,g,Chocolate chips
Fody Chipotle BBQ Sauce Unsweetened,236,mL,BBQ Sauce
Fody Maple BBQ Sauce,236,mL,BBQ Sauce
Fody Mild Salsa,450,mL,Salsa
Fody Pasta Sauce,547,mL,Pasta sauce
Glutino Gluten Free Chocolate Vanilla Creme Cookies,300,g,Cookies
GoBIO Organic Bouillon Cubes,66,g,Bouillon cubes
GoGo Quinoa Cinnamon Quinoa Crunchies,100,g,Cereal
GoGo Quinoa Organic Cocoa Puffed Quinoa Cereal,260,g,Cereal
Inari Organic Arborio Rice for Risotto,500,g,Rice
Inari Organic Black (Turtle) Beans,500,g,Beans
Inari Organic White Basmati Rice,500,g,Rice
Inari Organic Whole Black Chia Seed Large Bag,500,g,Chia seeds
Jamieson Melatonin 10mg,60,count,Vitamins
Jamieson Vitamin B2 100 mg,100,count,Vitamins
"Jamieson Vitamin C 1,000 mg",100,count,Vitamins
"Jamieson Vitamin D 1,000 IU",100,count,Vitamins
Kettle Onion Potato Chips,220,g,Chips
KIND Bars Granola Bars,5,count,Granola bars
KIND Bars Granola Bars,12,count,Granola bars
KIND Breakfast Bars,4,count,Granola bars
KIND Granola,312,g,Granola
Lotus Foods Organic Rice Ramen,283,g,Noodles
Lundberg Rice,907,g,Rice
PRANA Organic Black Whole Chia Seeds,300,g,Chia seeds
PUR Sugar-Free Cinnamon Gum Bag,77,g,Gum
Rizopia Organic Brown Rice Pasta Fettucine,454,g,Pasta
Schar Gluten Free Entertainment Crackers,175,g,Crackers
Schar Gluten Free Multigrain Crackers 6 x 35 g,210,g,Crackers
Snyders of Hanover Gluten Free Honey Mustard & Onion Pretzel Sticks,220,g,Chips
Watkins Organic Paprika,85,g,Spices
Webber Naturals Coenzyme Q10 100 mg,60,count,Vitamins
Webber Naturals Magnesium Citrate Capsules 150 mg,60,count,Vitamins
Wholesome Sweeteners Organic Fair-Trade Dark Brown Sugar,680,g,Sugar
Potato Starch,500,g,Flour
Tapioca Flour,500,g,Flour
Sorgum Flour,500,g,Flour
Buckweat Flour,500,g,Flour
Brown Rice Flour,680,g,Flour
Rice Pasta and Cheddar GF,170,g,Mac and cheese
Eco Pack Cert Cereal,750,g,Cereal
Brioche Hot Dog Buns,4,count,Hot dog buns
Loaf Chia and Quinoa GF,480,g,Bread
Load multigrain GF,480,g,Bread
Gluten Free Oreos,376,g,Cookies
Leapin Leamurs cereal,284,g,Cereal
EatWell Flings Buffalo,790,g,Chicken nuggets
Brioche Hot Dog and Hamburger Buns,4,count,Hot dog buns
English muffins,6,count,English muffins
Nature Path Koala Krisp Cereal Ecopack,725,g,Cereal
Barb original cheese puffs,198,g,Chips
Schar GF entertainment crackers,175,g,Crackers
Made Good ganola bar,120,g,Granola bars
Jade pearl rice ramen noodles,80,g,Noodles
Nature path mesa sunrise raisin ecopac,825,g,Cereal
Schar GF hamburger buns,4,count,Hot dog buns
Schar GF hotdog buns,4,count,Hot dog buns
Pretzel twists,400,g,Chips
Blue nut thins,120,g,Crackers
Kinn english muffin tapioca,4,count,English muffins
Lucky Spring Rolls GF,241,g,Spring Rolls
Restaurant GF surcharge,1,count,Misc
Loaf multigrain GF,480,g,Bread
"Brioche Hot Dog Buns, hamburger buns",4,count,Hot dog buns
Nature Path Waffles GF,210,g,Waffles
Barb baked white cheddar cheese puffs,155,g,Chips
Schar GF hotdog buns,4,count,Hot dog buns
Nature path gorilla munch ecopack,650,g,Cereal
Lundenberg Jasmine white rice GF,907,g,Rice
Prana Cashews,250,g,Nuts
Schar GF hamburger buns,4,count,Hot dog buns
Enoy chocolate chips,255,g,Chocolate chips
Gergia Bay granola,400,g,Granola
schar hot dog buns,4,count,Hot dog buns
schar gf buns,4,count,Hot dog buns
Schar pizza crust,2,count,Pizza crust
loaf white soft gf,480,g,Bread
Promise GF mini pitas,210,g,Bread