name,quantity,unitofmeasure,price,priceperweight,referenceurl
BBQ Sauce,455,g,2.47,0.005429,https://walmart.ca/#missing
Beans,540,g,1.37,0.002537,https://walmart.ca/#missing
Bouillon cubes,80,g,1.14,0.014250,https://walmart.ca/#missing
Candy,150,g,1,0.006667,https://walmart.ca/#missing
Cereal,755,g,4.97,0.006583,https://walmart.ca/#missing
Chia seeds,454,g,5.47,0.012048,https://walmart.ca/#missing
Chips,280,g,2.18,0.007786,https://walmart.ca/#missing
Chocolate,100,g,0.6,0.006000,https://walmart.ca/#missing
Chocolate chips,300,g,3.97,0.013233,https://walmart.ca/#missing
Cookies,70,g,0.67,0.009571,https://walmart.ca/#missing
Cornstarch,454,g,3.77,0.008304,https://walmart.ca/#missing
Crackers,185,g,2.28,0.012324,https://walmart.ca/#missing
Flour,1000,g,2.27,0.002270,https://walmart.ca/#missing
Granola,400,g,3.97,0.009925,https://walmart.ca/#missing
Granola bars,210,g,1.97,0.009381,https://walmart.ca/#missing
Gum,48,count,3.87,0.080625,https://walmart.ca/#missing
Hot chocolate,500,g,4.37,0.008740,https://walmart.ca/#missing
Jam,250,mL,3.97,0.015880,https://walmart.ca/#missing
Mac and cheese,225,g,0.97,0.004311,https://walmart.ca/#missing
Milk,2000,mL,3.97,0.001985,https://walmart.ca/#missing
Misc,1,x,0,0.000000,https://walmart.ca/#missing
Noodles,85,g,0.47,0.005529,https://walmart.ca/#missing
Oats,1000,g,2.77,0.002770,https://walmart.ca/#missing
Pasta,100,g,0.97,0.009700,https://walmart.ca/#missing
Pasta sauce,680,mL,1.77,0.002603,https://walmart.ca/#missing
Peanut butter,500,g,2.97,0.005940,https://walmart.ca/#missing
Rice,8000,g,19.27,0.002409,https://walmart.ca/#missing
Salsa,650,mL,4.47,0.006877,https://walmart.ca/#missing
Spices,130,g,1.97,0.015154,https://walmart.ca/#missing
Spread,725,g,4.97,0.006855,https://walmart.ca/#missing
Vitamins,100,count,4.97,0.049700,https://walmart.ca/#missing
Bread,675,g,1.97,0.002919,https://walmart.ca/#missing
Hot dog buns,8,count,2.67,0.333750,https://walmart.ca/#missing
Cookies,300,g,2.48,0.008267,https://walmart.ca/#missing
Chicken nuggets,1500,g,9.77,0.006513,https://walmart.ca/#missing
English muffins,6,count,2.67,0.445000,https://walmart.ca/#missing
Spring Rolls,350,g,4.67,0.013343,https://walmart.ca/#missing
Waffles,280,g,2.78,0.009929,https://walmart.ca/#missing
Nuts,200,g,2.17,0.010850,https://walmart.ca/#missing
Hot dogs saussages,900,g,5,0.005556,https://walmart.ca/#missing
Pizza crust,1,count,3.58,3.580000,https://walmart.ca/#missing
Marshmallows,400,g,2.47,0.006175,https://www.walmart.ca/en/ip/Great-Value-Original-Marshmallows/6000196753302
Cooking Oil,1000,mL,4.97,0.004970,https://www.walmart.ca/en/ip/Great-Value-Canola-Oil/6000191272943
Sugar,2000,g,3.27,0.001365,https://www.walmart.ca/en/ip/Redpath-Special-Fine-Granulated-Sugar/10053833
Baked good,6,count,4.97,0.828333,https://www.walmart.ca/en/ip/ct-bakery-medium-sprinkle-donuts/2VBW4K48ZIK6